"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"84","MIR_17_5P",0.79669361898449,0.370488473207428,2.15038706086394,0.0315777952828671,"BMD",0.186888992490438,"linear",">10%",0.79669361898449
"12","MIR_106A_5P",0.771325113115762,0.365697193804781,2.10919068065782,0.034982906629083,"BMD",0.198609856948933,"linear",">10%",0.771325113115762
"173","MIR_339_3P",0.554741589377647,0.263979860692488,2.1014542091295,0.0356559064636523,"BMD",0.198609856948933,"linear",">10%",0.554741589377647
"31","MIR_1260A",0.58512610349332,0.278622727985236,2.10006594840434,0.0357787539591367,"BMD",0.198609856948933,"linear",">10%",0.58512610349332
"7","LET_7E_5P",0.744771077616925,0.359795141550049,2.06998647732803,0.0385112902310187,"BMD",0.198609856948933,"linear",">10%",0.744771077616925
"13","MIR_106B_3P",0.789115371452471,0.382909856869865,2.06083849056061,0.039377013703168,"BMD",0.198609856948933,"linear",">10%",0.789115371452471
"11","MIR_103A_3P",0.69109754605683,0.335671333248974,2.05885185180299,0.039566967528808,"BMD",0.198609856948933,"linear",">10%",0.69109754605683
"152","MIR_29C_5P",0.480574531844597,0.23377385631312,2.05572402074298,0.0398679905026608,"BMD",0.198609856948933,"linear",">10%",0.480574531844597
"180","MIR_345_5P",0.50246240868875,0.244566533416216,2.05450190453341,0.0399846492533895,"BMD",0.198609856948933,"linear",">10%",0.50246240868875
"244","MIR_625_5P",0.484885457572806,0.236100454057552,2.05372522263176,0.0400615473415548,"BMD",0.198609856948933,"linear",">10%",0.484885457572806
"228","MIR_542_3P",2.34753278325526,1.14582530286039,2.04877024219571,0.0408344419033826,"BMD",0.198609856948933,"linear",">10%",2.34753278325526
"234","MIR_589_3P",0.609220815736509,0.298168644117285,2.04320886101247,0.0410916945411585,"BMD",0.198609856948933,"linear",">10%",0.609220815736509
"226","MIR_532_5P",0.532955812897795,0.262239742398317,2.03232282042241,0.0421810503393041,"BMD",0.200532862268823,"linear",">10%",0.532955812897795
"267","MIR_886_3P",0.723550144808161,0.358620136271356,2.01759486327526,0.0436990621715177,"BMD",0.204398839189357,"linear",">10%",0.723550144808161
"210","MIR_484",0.200056307610659,0.0997322975297936,2.00593300832055,0.0449215272765257,"BMD",0.206781633495118,"linear",">10%",0.200056307610659
"194","MIR_382_5P",-0.652425675789312,0.331963494167984,-1.96535368271297,0.0494455868829277,"BMD",0.224050315563266,"linear",">10%",-0.652425675789312
"284","RNU44_B2",0.617774664563617,0.317555243772705,1.94540848144772,0.0517969763903123,"BMD",0.231094202356778,"linear",">10%",0.617774664563617
"237","MIR_598",0.452625753107946,0.234865211606655,1.92717239820935,0.0540273004501167,"BMD",0.237392683795967,"linear",">10%",0.452625753107946
"297","MIR_145_3P",0.95704595868052,0.497862541958481,1.92230962971368,0.054566809020533,"BMD",0.0902112568484618,"logistic","5-10%",2.60399279821621
"129","MIR_223_3P",0.231154498093815,0.121893665875719,1.89636185303917,0.0579751116666497,"BMD",0.248642792462896,"linear",">10%",0.231154498093815
"148","MIR_29A_3P",0.700975700069539,0.370116717575244,1.89393147291984,0.0583024478878515,"BMD",0.248642792462896,"linear",">10%",0.700975700069539
"202","MIR_431_5P",0.757793810485708,0.402001325179391,1.8850530160505,0.0595915171720899,"BMD",0.250164321306335,"linear",">10%",0.757793810485708
"136","MIR_25_5P",0.452131287730166,0.240693222562244,1.8784545859543,0.060384491349805,"BMD",0.250164321306335,"linear",">10%",0.452131287730166
"10","MIR_100_5P",0.948551766837818,0.516002532858616,1.83826959449775,0.0661240318792658,"BMD",0.265220838297045,"linear",">10%",0.948551766837818
"224","MIR_505_5P",0.361297621716162,0.197372439448319,1.83053734719008,0.0672365005964835,"BMD",0.265220838297045,"linear",">10%",0.361297621716162
"112","MIR_200C_3P",0.535764215228079,0.29388136561324,1.82306290196421,0.068375513207994,"BMD",0.265220838297045,"linear",">10%",0.535764215228079
"98","MIR_191_3P",0.459084691484332,0.252113366648668,1.82094546428428,0.0686986289170112,"BMD",0.265220838297045,"linear",">10%",0.459084691484332
"184","MIR_363_5P",0.355672370614475,0.196037705365938,1.81430592625307,0.0697072080651424,"BMD",0.265220838297045,"linear",">10%",0.355672370614475
"145","MIR_28_3P",0.687490569208477,0.380895664770605,1.80493146232714,0.0711564084953895,"BMD",0.265220838297045,"linear",">10%",0.687490569208477
"213","MIR_487B",-0.730203365406727,0.404367379610861,-1.8057919659826,0.0711818938174571,"BMD",0.265220838297045,"linear",">10%",-0.730203365406727
"88","MIR_183_3P",0.538494685745945,0.298620387698443,1.80327502049102,0.0714116754534095,"BMD",0.265220838297045,"linear",">10%",0.538494685745945
"24","MIR_1248",-0.464819630693975,0.258481055932015,-1.79827349055797,0.0722498145705744,"BMD",0.265220838297045,"linear",">10%",-0.464819630693975
"133","MIR_24_2_5P",0.616028861316192,0.350571822755705,1.75721156501922,0.078986613997621,"BMD",0.286326475741376,"linear",">10%",0.616028861316192
"37","MIR_1274B",0.577887409960443,0.331170887217905,1.74498252190931,0.0811877644890841,"BMD",0.290672243232523,"linear",">10%",0.577887409960443
"61","MIR_140_5P",0.701070986372333,0.403897833505758,1.73576317626457,0.0827452229206614,"BMD",0.29263554447551,"linear",">10%",0.701070986372333
"193","MIR_378A_5P",0.465218525920128,0.274100570883729,1.69725485948539,0.0897171333025468,"BMD",0.308054605172629,"linear",">10%",0.465218525920128
"95","MIR_18A_5P_A1",0.565969363024168,0.334700520869925,1.69097245965781,0.0909118695653109,"BMD",0.308054605172629,"linear",">10%",0.565969363024168
"298","LET_7I_3P",-0.751018665305743,0.444869247714372,-1.68817842358017,0.09137698373994,"BMD",0.147498280840061,"logistic","5-10%",0.471885614321373
"85","MIR_181A_2_3P",0.312934330352545,0.185598667465259,1.68608069565543,0.09184970378551,"BMD",0.308054605172629,"linear",">10%",0.312934330352545
"273","MIR_93_3P",0.444977213348684,0.264347710231,1.68330269613397,0.0923842027052808,"BMD",0.308054605172629,"linear",">10%",0.444977213348684
"19","MIR_1180",0.30696620094527,0.183071891486174,1.67675222260132,0.0936608203959738,"BMD",0.308054605172629,"linear",">10%",0.30696620094527
"191","MIR_376A_3P",0.600144246605827,0.359608775899572,1.66888098073955,0.0952128324455397,"BMD",0.308054605172629,"linear",">10%",0.600144246605827
"217","MIR_500A_3P",0.337492016719971,0.202444289264124,1.66708588296928,0.0955757703956512,"BMD",0.308054605172629,"linear",">10%",0.337492016719971
"183","MIR_363_3P",0.494243220473866,0.296503438195143,1.66690552892874,0.0956031533294366,"BMD",0.308054605172629,"linear",">10%",0.494243220473866
"110","MIR_19B_1_5P",0.402452132615993,0.244784335627067,1.64410901369577,0.100249403679186,"BMD",0.316504900961319,"linear",">10%",0.402452132615993
"105","MIR_196B_5P",0.41013137494768,0.249578565993654,1.64329566248933,0.100408451339453,"BMD",0.316504900961319,"linear",">10%",0.41013137494768
"161","MIR_31_5P",0.480862152094931,0.294786372600055,1.63122246070489,0.102916246071681,"BMD",0.320921627535349,"linear",">10%",0.480862152094931
"91","MIR_185_5P",0.577312104229127,0.35680516293284,1.61800378526976,0.105730223372694,"BMD",0.323134796317572,"linear",">10%",0.577312104229127
"157","MIR_30B_5P",0.295238154843034,0.182960861330429,1.61366836981507,0.106668238452558,"BMD",0.323134796317572,"linear",">10%",0.295238154843034
"262","MIR_744_5P",0.382323655879812,0.237130553284155,1.61229183917802,0.1069687601603,"BMD",0.323134796317572,"linear",">10%",0.382323655879812
"254","MIR_664_3P",0.532812184728341,0.335911373508929,1.58616893248534,0.112770269272838,"BMD",0.337148227722917,"linear",">10%",0.532812184728341
"122","MIR_216B",0.684507579380378,0.435891373458517,1.57036275792579,0.116810004117054,"BMD",0.341344864773194,"linear",">10%",0.684507579380378
"78","MIR_15A_3P",0.468174220689919,0.298666163207456,1.56755025631987,0.117124592089527,"BMD",0.341344864773194,"linear",">10%",0.468174220689919
"169","MIR_330_3P",0.384037451875785,0.247055027536533,1.55446118909277,0.120151913014943,"BMD",0.341344864773194,"linear",">10%",0.384037451875785
"241","MIR_616_5P",0.370841698438475,0.238660777668001,1.55384433949323,0.120295092405751,"BMD",0.341344864773194,"linear",">10%",0.370841698438475
"296","MIR_218_2_3P",-0.755718524293372,0.486462176042836,-1.55349904167437,0.120303958033005,"BMD",0.189710087667432,"logistic","5-10%",0.46967302198453
"103","MIR_193B_3P",0.503844299963271,0.325017631751741,1.55020605266155,0.121162108453567,"BMD",0.341344864773194,"linear",">10%",0.503844299963271
"132","MIR_23A_5P",-1.44566511925278,0.932412607404188,-1.55045642644995,0.121236279557376,"BMD",0.341344864773194,"linear",">10%",-1.44566511925278
"291","MIR_149_5P",0.761068848938347,0.495038626851776,1.53739285715623,0.124197134482491,"BMD",0.194354294419165,"logistic","5-10%",2.14056293662434
"21","MIR_1227",0.756062399781395,0.497415450106792,1.51998173683401,0.128643400714745,"BMD",0.358717175069962,"linear",">10%",0.756062399781395
"253","MIR_660_5P",0.39913510588225,0.26442496813101,1.5094456045637,0.131254411849106,"BMD",0.362512185107056,"linear",">10%",0.39913510588225
"72","MIR_150_5P",0.224914274775848,0.153070806743118,1.46934794139614,0.14180642498538,"BMD",0.38654775921211,"linear",">10%",0.224914274775848
"248","MIR_635",-0.83038965218841,0.565951004357999,-1.46724653864761,0.142622793916192,"BMD",0.38654775921211,"linear",">10%",-0.83038965218841
"260","MIR_720",0.25418896222612,0.174306721678275,1.45828548537151,0.144829829279403,"BMD",0.388894911953952,"linear",">10%",0.25418896222612
