"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"127","MIR_221_3P",0.000325194900434347,0.000933687313358685,0.348291013256405,0.727638095298638,"MIR_221_3P",0.752013712176069
"128","MIR_222_3P",0.00181226960822677,0.000552581831416125,3.27964023641963,0.00104708959736709,"MIR_222_3P",0.00130660922218785
"129","MIR_223_3P",0.00339565268604415,0.00179061431793841,1.89636185303917,0.0579751116666493,"MIR_223_3P",0.0685117456533345
"130","MIR_223_5P",0.00101462582232823,0.000922147629483932,1.10028566998112,0.271268909405802,"MIR_223_5P",0.298663567682926
"131","MIR_224_5P",-0.000630062033369261,0.00166739325342183,-0.377872485735592,0.705583434304271,"MIR_224_5P",0.73078284267228
"132","MIR_23A_5P",-0.00107183157136011,0.000691300673192253,-1.55045642644995,0.121236279557376,"MIR_23A_5P",0.139186544226599
"133","MIR_24_2_5P",0.00171594133665695,0.00097651379652637,1.75721156501921,0.0789866139976219,"MIR_24_2_5P",0.0923633792714127
"134","MIR_24_3P",0.000411418994499358,0.000749330936771665,0.549048456843208,0.582998604282815,"MIR_24_3P",0.611242209840985
"135","MIR_25_3P",-7.5263335908147e-05,0.000732644095860984,-0.102728372934883,0.918182998449322,"MIR_25_3P",0.929322530734493
"136","MIR_25_5P",0.00175673642702013,0.000935203033470016,1.87845458595431,0.0603844913498047,"MIR_25_5P",0.071184969477412
"137","MIR_26A_1_3P",0.000775036336787542,0.0010430799833385,0.743026756497569,0.457509018446114,"MIR_26A_1_3P",0.486354894975707
"138","MIR_26A_5P",0.00131556549545197,0.000569595714595892,2.30964781114148,0.0209526610054867,"MIR_26A_5P",0.0254237309271595
"139","MIR_26B_3P",0.000821801827480811,0.00104941537432476,0.783104428987039,0.433607249374391,"MIR_26B_3P",0.462982703676632
"140","MIR_26B_5P",0.000604210567816151,0.000516160734082329,1.17058607507284,0.241832442831413,"MIR_26B_5P",0.267269086970692
"141","MIR_27A_3P",0.000944202650786268,0.00077256538898306,1.22216535228058,0.221710407192362,"MIR_27A_3P",0.246156271385088
"142","MIR_27A_5P",0.000655090148193441,0.000843808089483911,0.776349689411138,0.4375903439051,"MIR_27A_5P",0.466891831245324
"143","MIR_27B_3P",0.00126206748396833,0.000881778203598932,1.43127543731209,0.152420502423589,"MIR_27B_3P",0.173613298125847
"144","MIR_27B_5P",-0.00218331907133607,0.00238195142272347,-0.91660940290701,0.359546992809347,"MIR_27B_5P",0.389062044457875
"145","MIR_28_3P",0.00111806568346588,0.000619450492610024,1.80493146232714,0.0711564084953897,"MIR_28_3P",0.0834387599315381
"146","MIR_28_5P",0.000714024704486379,0.000823472894175954,0.86708950535755,0.385939679941485,"MIR_28_5P",0.416378374936871
"147","MIR_296_5P",0.00164498333323415,0.000726714812814587,2.26358855527257,0.0236485135867112,"MIR_296_5P",0.0285514943386605
"148","MIR_29A_3P",0.00121184466511818,0.000639856659253835,1.89393147291984,0.058302447887852,"MIR_29A_3P",0.0688424669685549
